a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,a65,a66,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,
0.147710,0.649739,1.899472,2.636494,3.325297,3.981445,4.558550,5.318155,6.153142,6.647237,7.229530,8.238472,8.367260,8.561968,8.817103,9.074068,9.479049,9.681082,9.742424,9.723197,9.616382,9.168371,9.212317,8.760949,8.311106,7.679678,7.494430,7.028718,6.415906,5.575426,4.730674,4.324473,3.453169,2.783898,1.939756,0.868862,-0.214850,-0.868252,-1.843318,-2.293161,-3.491928,-3.931394,-4.643696,-5.265664,-5.934935,-6.792199,-7.494736,-8.085879,-8.521683,-8.586688,-9.400311,-9.443342,-9.797052,-9.556261,-9.966430,-9.957274,-9.301126,-9.503464,-9.251076,-8.738060,-8.285470,-7.743156,-7.294229,-6.868191,-6.411634,-5.417341,-4.868618,-4.124577,-3.048189,-2.363964,-1.919614,-0.786157,-0.068972,0.986053,1.749626,2.553789,3.234046,3.889889,4.684591,5.518357,
0.187689,0.861538,1.984313,2.667013,3.230384,3.906064,4.949187,5.563524,5.977355,6.982940,7.436750,7.737358,8.672445,8.578143,9.359722,9.486068,9.435102,9.618824,9.442122,9.941710,9.660939,9.159215,9.338664,8.980987,8.445997,7.756890,7.232887,7.044588,6.214789,5.351726,4.846644,4.232612,3.254799,2.372204,1.719413,0.948515,0.147404,-0.718406,-1.705374,-2.742698,-3.402509,-3.903928,-5.134129,-5.558641,-6.141545,-6.907559,-7.671438,-7.679678,-8.150273,-8.763695,-9.209265,-9.387494,-9.628590,-9.454939,-9.809870,-9.688406,-9.688406,-9.077731,-9.233985,-8.644978,-8.356578,-8.124638,-7.269509,-6.651204,-6.291391,-5.558031,-4.610431,-4.377270,-3.015229,-2.461013,-1.948302,-0.820643,-0.177618,1.057161,1.766106,2.610553,3.141575,4.309824,4.628742,5.334330,
0.157781,0.745872,1.960814,2.393567,3.230384,3.894162,4.999847,5.774102,6.368603,6.927396,7.585986,7.803888,8.192694,8.496658,8.855251,9.555651,9.765923,9.489731,9.468978,9.692984,9.258400,9.133885,9.082919,8.936735,8.505203,7.964415,7.166356,6.812037,6.046327,5.670949,4.713279,4.050111,3.145238,2.545244,1.691641,0.910367,-0.216376,-0.855129,-1.418500,-2.404859,-3.074129,-4.296396,-4.958647,-5.766778,-5.946837,-6.893216,-7.139195,-8.194220,-8.330943,-9.039277,-9.156163,-9.113132,-9.825739,-9.426862,-9.826044,-9.825129,-9.388714,-9.419538,-9.289224,-8.709067,-8.331553,-7.967772,-7.442549,-6.791589,-6.144597,-5.340739,-4.642170,-4.013489,-3.173620,-2.459181,-1.747490,-1.022675,0.154729,0.890530,1.939146,2.367626,3.142186,4.172796,4.979095,5.624256,
-0.071108,0.860012,1.450240,2.672201,3.401593,4.187750,4.980010,5.761284,6.037782,6.917325,7.662282,8.202765,8.477737,8.934904,8.846706,9.474166,9.841609,9.552904,9.741203,9.544053,9.353313,9.129307,9.329508,8.993805,8.537248,7.727897,7.314371,6.593219,5.966369,5.632801,5.025788,4.109317,3.269143,2.437819,1.545457,0.806299,-0.017701,-1.072115,-1.808527,-2.385327,-3.446455,-3.919797,-4.590289,-5.354778,-6.113773,-6.991791,-7.175512,-8.179571,-8.669698,-8.627583,-9.106418,-9.307840,-9.282205,-9.920652,-9.474471,-9.568773,-9.655751,-9.601428,-9.105197,-8.947111,-8.516800,-7.683340,-7.387616,-6.748253,-6.451918,-5.553148,-4.906461,-4.084597,-3.124485,-2.487259,-1.737114,-0.714438,0.037538,0.927152,1.639149,2.231513,3.459273,3.876156,4.939116,5.796381,
0.019227,1.017792,1.706290,2.461928,3.511460,4.152959,4.784692,5.856807,6.331675,6.681722,7.370220,7.738273,8.558000,9.071627,9.190039,9.091464,9.454634,9.397870,9.783013,9.439070,9.755852,9.580981,9.164098,8.913541,8.599811,7.640309,7.190161,6.966155,6.286203,5.373699,4.568010,3.878292,3.368938,2.391125,1.551866,0.741600,0.072024,-0.688498,-1.524400,-2.518082,-3.273721,-3.942686,-4.630573,-5.796991,-6.175420,-6.934721,-7.593616,-8.177435,-8.199103,-9.061251,-9.166540,-9.331339,-9.675588,-9.635914,-9.864498,-9.773553,-9.781793,-9.177831,-9.325236,-8.910184,-8.214972,-7.694632,-7.240822,-6.695456,-6.147038,-5.627003,-4.614704,-4.239937,-3.076571,-2.649312,-1.810663,-0.795923,0.315256,0.601825,1.456954,2.548601,3.296304,3.877987,4.725791,5.818354,
-0.130009,0.663472,1.489303,2.798547,3.093966,3.855098,4.611042,5.490280,6.506546,6.819361,7.409284,8.230232,8.617512,8.823817,9.330119,9.492477,9.496139,9.520249,9.402142,9.674978,9.819636,9.300211,8.948332,8.829310,8.237556,8.038575,7.677541,6.798303,6.445204,5.242470,5.087741,4.132206,3.460494,2.526627,1.439558,0.648213,-0.100711,-1.173437,-1.763665,-2.790613,-3.250221,-3.913999,-5.137181,-5.402081,-6.160772,-6.765343,-7.268288,-7.944884,-8.304086,-9.017914,-9.011505,-9.240089,-9.391461,-9.946593,-9.478439,-9.573046,-9.422895,-9.609973,-9.072848,-8.509476,-8.649556,-8.063295,-7.623524,-6.548357,-6.139409,-5.663320,-4.570147,-4.151128,-3.172399,-2.649922,-1.861019,-0.970794,0.043031,1.116977,1.478011,2.781152,3.310953,3.874935,5.045015,5.391400,
0.321055,1.047090,1.942503,2.371899,3.325602,3.834651,5.031587,5.361797,6.205329,6.771142,7.748955,7.689138,8.269295,8.619343,8.975799,9.170202,9.630726,9.896542,9.962767,9.476608,9.713431,9.446699,9.195837,9.020966,8.354747,8.177129,7.504807,6.623127,6.288339,5.574816,4.771264,4.331492,3.307291,2.522050,1.669973,0.661946,-0.098575,-0.971709,-1.998352,-2.368847,-3.534043,-4.390393,-4.947661,-5.539109,-6.520280,-7.065950,-7.660146,-7.879879,-8.445997,-8.743553,-9.009064,-9.413434,-9.448225,-9.727775,-9.498276,-9.604175,-9.725944,-9.089938,-8.876308,-8.840602,-8.089236,-8.113651,-7.169408,-6.788232,-6.241646,-5.457015,-4.693136,-4.336375,-3.411969,-2.619098,-1.703848,-0.571917,0.162664,1.018708,1.957762,2.481765,3.289895,4.374523,4.766381,5.526292,
0.084841,0.799890,1.866207,2.698752,3.498947,4.281442,4.669942,5.418561,6.130558,6.996979,7.704093,7.890255,8.431959,8.573870,9.373760,9.201331,9.570299,9.758904,9.662465,9.771111,9.298685,9.105502,8.844874,8.489639,8.291269,7.805414,7.520981,6.613971,6.138798,5.269021,4.918058,4.195074,3.096408,2.585528,1.711478,0.895718,-0.016480,-1.128880,-1.699271,-2.822047,-3.072909,-4.159673,-4.604633,-5.461898,-6.248665,-6.780908,-7.342143,-8.046510,-8.488418,-9.078646,-8.943754,-9.578234,-9.823298,-9.779962,-9.528794,-9.831233,-9.651479,-9.367351,-9.394208,-8.809168,-8.373974,-7.857601,-7.247536,-6.888028,-6.292306,-5.323038,-4.547563,-3.986633,-2.979217,-2.737205,-1.604663,-0.584735,-0.025330,0.771508,1.596728,2.267525,3.424787,4.072390,4.597613,5.316935,
0.021973,1.108432,1.994079,2.498550,3.499252,4.210334,5.076754,5.828425,6.321299,6.949980,7.208777,8.148747,8.401746,8.865322,9.185156,9.422590,9.750359,9.770196,9.605396,9.364299,9.403668,9.261147,8.936735,8.932768,8.298288,8.139286,7.168798,6.959136,6.274606,5.759453,4.617145,4.076052,3.512680,2.631001,1.915342,0.614948,0.191961,-0.715659,-1.460311,-2.348399,-3.129063,-4.066286,-5.080721,-5.533311,-6.413160,-7.042756,-7.322306,-7.800531,-8.622089,-8.682821,-9.143040,-9.632557,-9.376812,-9.453413,-9.924619,-9.773858,-9.499496,-9.372845,-8.940397,-8.955351,-8.238777,-7.620777,-7.689749,-6.735740,-6.082339,-5.718863,-5.064547,-4.189886,-3.165990,-2.259896,-1.602527,-0.874050,0.216376,0.733360,1.814936,2.396313,3.185827,4.426099,4.760582,5.316935,
0.216376,0.690939,1.466414,2.268746,3.277688,4.235359,4.803003,5.556810,6.226386,6.651509,7.492294,8.095950,8.330027,8.908048,9.359111,9.403974,9.603565,9.399396,9.678640,9.513535,9.498276,9.572741,9.087191,8.520157,8.411512,8.039491,7.561571,7.038179,6.402783,5.393841,5.020905,4.136174,3.413800,2.654500,1.789605,1.013825,0.190130,-0.652486,-1.725211,-2.599567,-3.604541,-4.236885,-4.703513,-5.652028,-6.474807,-7.196875,-7.371136,-7.812738,-8.689535,-9.059725,-9.202246,-9.272744,-9.377422,-9.874874,-9.913633,-9.928587,-9.634693,-9.643849,-8.808557,-8.679464,-8.640095,-7.665639,-7.312540,-6.860866,-6.479995,-5.672781,-4.867397,-3.957030,-3.097018,-2.743919,-1.434675,-1.007721,0.135197,0.930204,2.028260,2.541276,3.197424,4.029359,5.066073,5.513779,
